Model,Precision,Recall,mAP@50,mAP@50-95,Preprocess,Inference,Postprocess,FPS,Layers,Parameters
YOLO11,58.25,48.16,50.30,31.02,2.1,5.8,4.9,78.1,101,2584102
YOLO12,58.82,49.43,51.42,32.01,2.0,11.0,4.4,57.5,159,2558678
YOLO11+GL-CAB,60.5,51.54,51.07,33.61,1.8,5.6,5.0,80.6,113,2946214
