epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,4926.12,1.67788,1.20355,1.03196,0.64165,0.35339,0.39004,0.24064,1.66425,1.2202,1.04325,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
32,5081.25,1.63673,1.16818,1.0327,0.64878,0.36746,0.39528,0.2422,1.68121,1.2262,1.04158,0.0284655,0.0094885,0.0284655,0.0094885,0.0284655,0.0094885,0.0284655,0.0094885
33,5238.4,1.66468,1.17236,1.03563,0.67769,0.37022,0.41043,0.24984,1.65622,1.20471,1.03951,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
34,5396.05,1.63226,1.16404,1.03099,0.64948,0.36912,0.40005,0.24492,1.66248,1.25616,1.03904,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
35,5548.93,1.63115,1.13751,1.03401,0.57708,0.36372,0.39749,0.2432,1.67618,1.24664,1.04362,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
36,5702.63,1.65097,1.16981,1.03074,0.61335,0.36986,0.40444,0.25008,1.67311,1.20835,1.03888,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
37,5859.97,1.62181,1.13995,1.0269,0.59809,0.38284,0.41247,0.25335,1.65981,1.24664,1.04595,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
38,6010.68,1.60918,1.10671,1.02392,0.61738,0.38326,0.41008,0.25032,1.63308,1.19698,1.03391,0.0281685,0.0093895,0.0281685,0.0093895,0.0281685,0.0093895,0.0281685,0.0093895
39,6161.58,1.6463,1.13997,1.03286,0.58411,0.3816,0.41812,0.26333,1.63155,1.20861,1.03603,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
40,6314.12,1.63032,1.13766,1.01873,0.59757,0.37015,0.40828,0.25643,1.65674,1.22851,1.03271,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
41,6470.75,1.61608,1.10985,1.0163,0.64326,0.38731,0.41574,0.25961,1.62955,1.17935,1.03041,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
42,6625.91,1.61917,1.13288,1.01611,0.63636,0.37621,0.422,0.26291,1.62014,1.15108,1.02942,0.0279705,0.0093235,0.0279705,0.0093235,0.0279705,0.0093235,0.0279705,0.0093235
43,6780.99,1.59479,1.08082,1.01402,0.70056,0.36546,0.41788,0.26038,1.63131,1.1658,1.0294,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
44,6939.14,1.61092,1.10812,1.0202,0.67876,0.38547,0.43103,0.26591,1.61391,1.15956,1.02565,0.0278715,0.0092905,0.0278715,0.0092905,0.0278715,0.0092905,0.0278715,0.0092905
45,7089.56,1.58853,1.09346,1.02392,0.59729,0.38019,0.41244,0.25162,1.63032,1.20483,1.03256,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
46,7242.09,1.60189,1.13863,1.01897,0.63627,0.38507,0.41854,0.25652,1.64381,1.19304,1.02896,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
47,7392.04,1.58423,1.106,1.01735,0.61756,0.38578,0.42462,0.26345,1.62525,1.16126,1.02803,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
48,7549.16,1.59358,1.0846,1.01968,0.58487,0.39307,0.42255,0.26036,1.63897,1.15177,1.02552,0.0276735,0.0092245,0.0276735,0.0092245,0.0276735,0.0092245,0.0276735,0.0092245
49,7701.88,1.61159,1.07046,1.00467,0.67559,0.39067,0.42709,0.26739,1.61666,1.16571,1.02832,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
50,7855.15,1.58117,1.05942,1.00715,0.67811,0.40058,0.43747,0.27204,1.60819,1.13468,1.01804,0.0275745,0.0091915,0.0275745,0.0091915,0.0275745,0.0091915,0.0275745,0.0091915
51,8006.61,1.58793,1.07449,1.00769,0.7444,0.38567,0.43124,0.27137,1.61051,1.11568,1.01618,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
52,8158.45,1.56672,1.06231,1.01451,0.64813,0.405,0.43443,0.2714,1.61671,1.14573,1.02305,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
53,8316.77,1.58678,1.05452,1.00682,0.69549,0.40519,0.43783,0.27437,1.60764,1.11793,1.02254,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
54,8467.4,1.55337,1.07011,1.00853,0.69737,0.4027,0.43649,0.27468,1.60746,1.1426,1.02117,0.0273765,0.0091255,0.0273765,0.0091255,0.0273765,0.0091255,0.0273765,0.0091255
55,8621.16,1.54408,1.05205,1.00591,0.68946,0.40852,0.44137,0.27442,1.602,1.11929,1.01476,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
56,8772.91,1.59931,1.03978,0.99556,0.6937,0.41621,0.45578,0.28222,1.61652,1.10308,1.02355,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
