model,P,R,mAP50,mAP95,preprocess,inference,loss,postprocess,layers,parameters,time,fps
YOLOv11,0.8791268597762416,0.7573324022346368,0.7996133805435814,0.38958677491217714,2.162912407989372,2.0626171917519804,0.0008342470758728817,0.9183725341218086,101,2582347,7.347,194.40
YOLOv12,0.8930071073519495,0.7606195779402228,0.7994942922805013,0.3871673076704537,2.1166990874935974,3.6119319781112065,0.0008837078090282481,0.9692513372201024,159,2556923,9.628,149.30
YOLOv11+GL-CAB,0.8766307463174526,0.7541899441340782,0.7935130013967351,0.37251507039844356,2.233631184069617,1.9789351338294858,0.0017977516230392335,1.2085814388618539,113,2944459,7.343,184.46
YOLOv11+T,0.8985406471864921,0.8170391061452514,0.8654638835862059,0.442740175309444,2.174738935701923,3.0343848867610816,0.0017036512792841596,1.0620113976396102,139,2479742,9.082,159.46
